file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList
./testing.py,1,1,1,6,2,1,0,1,1
./Repositories/advent-of-code-master/run.py,0,0,0,0,0,0,0,1,0
./Repositories/chatgpt-api-main/server.py,0,0,0,0,0,0,0,0,0
./Repositories/GET3D-master/train_3d.py,1,0,1,1,0,2,0,0,0
./Repositories/hackingtool-master/core.py,9,1,4,0,2,1,0,0,0
./Repositories/hackingtool-master/generate_readme.py,1,0,0,0,0,0,0,0,0
./Repositories/hackingtool-master/hackingtool.py,0,0,0,0,0,0,0,3,0
./Repositories/ml-stable-diffusion-main/setup.py,0,0,0,0,0,0,0,0,0
./Repositories/natbot-main/natbot.py,20,0,2,3,0,1,0,0,1
./Repositories/voltaML-main/setup.py,0,0,0,0,0,0,0,0,0
./Repositories/WARP-UNLIMITED-ADVANCED-main/config.py,0,0,0,0,0,1,0,0,0
./Repositories/WARP-UNLIMITED-ADVANCED-main/warp-plus.py,8,0,0,2,0,0,0,3,0
./Repositories/WARP-UNLIMITED-ADVANCED-main/warp.py,1,0,0,1,0,0,0,0,0
./Repositories/advent-of-code-master/common/bidict.py,0,0,0,0,0,0,0,0,1
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch01_Python_Codes/Streamlit_Bk4_Ch1_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_04.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_05.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_06.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_07.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_08.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_09.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_10.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_11.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_12.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_13.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Streamlit_Bk4_Ch2_13.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Bk4_Ch3_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Bk4_Ch3_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Streamlit_Bk4_Ch3_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch03_Python_Codes/Streamlit_Bk4_Ch3_03.py,0,0,0,0,0,0,0,0,2
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_04.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_05.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_06.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_07.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_08.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_09.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_10.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_11.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_12.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_13.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_14.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Bk4_Ch4_15.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch04_Python_Codes/Streamlit_Bk4_Ch4_16.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch05_Python_Codes/Bk4_Ch5_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch06_Python_Codes/Bk4_Ch6_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch07_Python_Codes/Streamlit_Bk4_Ch7_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch07_Python_Codes/Streamlit_Bk4_Ch7_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Bk4_Ch8_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Bk4_Ch8_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Streamlit_Bk4_Ch8_02.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch08_Python_Codes/Streamlit_Bk4_Ch8_03.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch09_Python_Codes/Bk4_Ch9_01.py,0,0,0,0,0,0,0,0,0
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch09_Python_Codes/Bk4_Ch9_02.py,0,0,0,0,0,0,0,0,0
