file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList,numberOfLines,,repetitiveCodeLines,817,
,,,,,,,,,,,,LongClassOrMethod,208,
./Repositories/advent-of-code-master/run.py,0,0,0,0,0,0,0,1,0,54,,LongParameterList,195,
,,,,,,,,,,,,MultipleReturnStatementsInFunction,183,
./Repositories/chatgpt-api-main/server.py,0,0,0,0,0,0,0,0,0,61,,LongConditionalBlocks,150,
,,,,,,,,,,,,LongStatements,69,
./Repositories/GET3D-master/train_3d.py,1,0,1,1,0,2,0,0,0,330,,MultipleSameFunctionNames,65,
,,,,,,,,,,,,DeadCodesAfterReturn,33,
./Repositories/hackingtool-master/core.py,9,1,4,0,2,1,0,0,0,178,,LongLoopBlocks,0,
,,,,,,,,,,,,,,
./Repositories/hackingtool-master/generate_readme.py,1,0,0,0,0,0,0,0,0,52,,numberOfLines,48847,
,,,,,,,,,,,,0,>0,341
./Repositories/hackingtool-master/hackingtool.py,0,0,0,0,0,0,0,3,0,110,,1,>100,138
,,,,,,,,,,,,2,>200,68
./Repositories/ml-stable-diffusion-main/setup.py,0,0,0,0,0,0,0,0,0,36,,3,>300,41
,,,,,,,,,,,,4,>400,29
./Repositories/natbot-main/natbot.py,20,0,2,3,0,1,0,0,1,639,,5,>500,19
,,,,,,,,,,,,6,>600,12
./Repositories/voltaML-main/setup.py,0,0,0,0,0,0,0,0,0,13,,7,>700,8
,,,,,,,,,,,,8,>800,6
./Repositories/WARP-UNLIMITED-ADVANCED-main/config.py,0,0,0,0,0,1,0,0,0,143,,9,>900,6
,,,,,,,,,,,,10,>1000,4
./Repositories/WARP-UNLIMITED-ADVANCED-main/warp-plus.py,8,0,0,2,0,0,0,3,0,172,,11,>1100,1
,,,,,,,,,,,,,,
./Repositories/WARP-UNLIMITED-ADVANCED-main/warp.py,1,0,0,1,0,0,0,0,0,99,,,,
,,,,,,,,,,,,,,
./Repositories/advent-of-code-master/common/bidict.py,0,0,0,0,0,0,0,0,1,50,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch01_Python_Codes/Streamlit_Bk4_Ch1_01.py,0,0,0,0,0,0,0,0,0,62,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_01.py,0,0,0,0,0,0,0,0,0,30,,,,
,,,,,,,,,,,,,,
./Repositories/Book4_Power-of-Matrix-main/Book4_Ch02_Python_Codes/Bk4_Ch2_02.py,0,0,0,0,0,0,0,0,0,19,,,,
