file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList,numberOfLines
./OpenStack/horizon/manage.py,0,0,0,0,0,0,0,0,0,23
./OpenStack/horizon/setup.py,0,0,0,0,0,0,0,0,0,21
./OpenStack/ironic/setup.py,0,0,0,0,0,0,0,0,0,21
./OpenStack/keystone/setup.py,0,0,0,0,0,0,0,0,0,20
./OpenStack/neutron/setup.py,0,0,0,0,0,0,0,0,0,29
./OpenStack/nova/setup.py,0,0,0,0,0,0,0,0,0,29
./OpenStack/swift/setup.py,0,0,0,0,0,0,0,0,0,30
./OpenStack/horizon/horizon/base.py,5,3,11,0,10,7,0,3,1,1034
./OpenStack/horizon/horizon/cache.py,0,0,0,0,0,0,0,0,0,33
./OpenStack/horizon/horizon/context_processors.py,0,0,0,0,0,0,0,0,0,42
./OpenStack/horizon/horizon/decorators.py,1,1,4,0,1,0,0,0,0,113
./OpenStack/horizon/horizon/defaults.py,0,0,0,0,0,0,0,0,0,98
./OpenStack/horizon/horizon/exceptions.py,7,0,0,0,3,0,0,1,0,365
./OpenStack/horizon/horizon/loaders.py,0,0,0,0,0,0,0,2,0,50
./OpenStack/horizon/horizon/messages.py,0,0,1,0,0,0,0,1,1,85
./OpenStack/horizon/horizon/notifications.py,1,0,1,0,0,1,0,0,0,149
./OpenStack/horizon/horizon/site_urls.py,0,0,0,0,0,0,0,0,0,55
./OpenStack/horizon/horizon/themes.py,0,0,1,0,0,1,0,0,0,172
./OpenStack/horizon/horizon/version.py,0,0,0,0,0,0,0,0,0,17
./OpenStack/horizon/horizon/views.py,0,1,3,0,1,0,0,0,1,123
./OpenStack/horizon/horizon/__init__.py,0,0,0,0,0,0,0,0,1,66
./OpenStack/horizon/openstack_auth/backend.py,0,1,4,0,0,2,0,2,0,279
./OpenStack/horizon/openstack_auth/defaults.py,0,0,0,0,0,0,0,0,0,180
./OpenStack/horizon/openstack_auth/exceptions.py,0,0,0,0,0,0,0,0,0,48
./OpenStack/horizon/openstack_auth/forms.py,8,0,2,0,2,4,0,1,0,246
./OpenStack/horizon/openstack_auth/middleware.py,0,0,0,0,0,0,0,0,0,25
./OpenStack/horizon/openstack_auth/models.py,0,0,0,0,0,0,0,0,0,18
./OpenStack/horizon/openstack_auth/policy.py,0,0,3,0,0,1,0,4,0,301
./OpenStack/horizon/openstack_auth/urls.py,0,0,0,0,0,0,0,0,0,50
./OpenStack/horizon/openstack_auth/user.py,4,3,4,0,2,2,0,0,0,428
./OpenStack/horizon/openstack_auth/utils.py,0,2,9,0,0,1,0,3,0,543
./OpenStack/horizon/openstack_auth/views.py,19,0,4,0,0,3,0,2,0,486
./OpenStack/horizon/openstack_auth/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/context_processors.py,0,0,0,0,0,1,0,1,0,115
./OpenStack/horizon/openstack_dashboard/defaults.py,1,0,0,0,0,0,0,0,0,567
./OpenStack/horizon/openstack_dashboard/exceptions.py,0,0,0,0,0,0,0,0,0,63
./OpenStack/horizon/openstack_dashboard/hooks.py,0,0,0,0,0,0,0,0,0,26
./OpenStack/horizon/openstack_dashboard/policy.py,0,0,1,0,0,0,0,0,0,56
./OpenStack/horizon/openstack_dashboard/settings.py,0,0,0,0,0,0,0,1,0,377
./OpenStack/horizon/openstack_dashboard/theme_settings.py,0,0,0,0,0,0,0,0,0,67
./OpenStack/horizon/openstack_dashboard/urls.py,0,0,0,0,0,0,0,0,0,64
./OpenStack/horizon/openstack_dashboard/views.py,0,0,0,0,0,0,0,0,0,114
./OpenStack/horizon/openstack_dashboard/wsgi.py,0,0,0,0,0,0,0,0,0,29
./OpenStack/horizon/openstack_dashboard/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/tools/find_settings.py,0,0,0,0,0,0,0,0,0,58
./OpenStack/horizon/tools/list-horizon-plugins.py,0,0,0,0,0,0,0,0,0,100
